END,endtime,ELAPSEDTIME,,hour
11/19/15 00:00,07:59:46,61,,7
11/20/15 00:00,07:40:46,70,,7
11/21/15 00:00,07:53:54,83,,7
11/22/15 00:00,09:00:46,150,,9
11/23/15 00:00,07:19:40,49,,7
11/24/15 00:00,07:35:55,65,,7
11/25/15 00:00,07:28:52,58,,7
11/26/15 00:00,07:49:59,79,,7
11/27/15 00:00,08:04:41,94,,8
11/28/15 00:00,08:16:37,101,,8
11/29/15 00:00,07:21:39,51,,7
11/30/15 00:00,07:32:37,62,,7
12/2/15 00:00,12:46:05,75,,12
12/2/15 00:00,14:06:48,27,,14
12/3/15 00:00,07:52:38,82,,7
12/4/15 00:00,10:34:34,117,,10
12/5/15 00:00,08:53:49,106,,8
12/6/15 00:00,07:53:44,75,,7
12/7/15 00:00,08:30:16,111,,8
12/8/15 00:00,09:47:45,74,,9
12/9/15 00:00,07:51:17,79,,7
12/10/15 00:00,07:47:26,77,,7
12/10/15 00:00,14:03:44,375,,14
12/11/15 00:00,08:48:38,64,,8
12/12/15 00:00,08:52:46,125,,8
12/13/15 00:00,09:19:34,78,,9
12/14/15 00:00,09:15:53,165,,9
12/15/15 00:00,08:29:27,119,,8
12/16/15 00:00,09:18:01,149,,9
12/17/15 00:00,09:24:49,174,,9
12/18/15 00:00,10:04:48,214,,10
12/19/15 00:00,07:21:21,51,,7
12/20/15 00:00,06:59:02,28,,6
12/21/15 00:00,07:53:45,83,,7
12/22/15 00:00,08:00:34,90,,8
12/23/15 00:00,07:46:56,76,,7
12/24/15 00:00,07:24:48,54,,7
12/25/15 00:00,07:14:21,44,,7
12/26/15 00:00,07:14:25,44,,7
12/27/15 00:00,07:17:01,46,,7
12/28/15 00:00,07:23:01,52,,7
12/29/15 00:00,09:16:29,166,,9
12/30/15 00:00,07:20:52,50,,7
12/31/15 00:00,08:22:31,112,,8
1/1/16 00:00,06:56:54,26,,6
1/2/16 00:00,06:47:14,17,,6
1/3/16 00:00,06:58:54,28,,6
1/4/16 00:00,08:01:19,91,,8
1/5/16 00:00,13:55:04,77,,13
1/6/16 00:00,09:19:56,134,,9
1/7/16 00:00,10:47:31,232,,10
1/8/16 00:00,14:05:52,48,,14
1/9/16 00:00,10:09:33,56,,10
1/10/16 00:00,08:19:38,95,,8
1/11/16 00:00,09:00:41,121,,9
1/17/16 00:00,10:03:20,22,,10
1/18/16 00:00,08:28:37,90,,8
1/19/16 00:00,14:08:04,241,,14
1/20/16 00:00,08:46:49,136,,8
1/21/16 00:00,09:03:03,62,,9
1/22/16 00:00,09:33:18,37,,9
1/23/16 00:00,07:44:11,66,,7
1/24/16 00:00,15:27:37,66,,15
